,age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
13369,46,3,187510,0,6,2,6,0,4,1,0,0,40,38,1
4742,30,3,316470,6,5,3,4,1,4,1,0,0,40,25,0
27093,37,3,173128,11,9,0,7,1,4,1,0,0,40,38,0
27906,35,1,102938,11,9,2,7,0,4,1,0,0,40,38,0
17035,39,3,48093,11,9,4,5,1,4,1,0,0,40,38,0
7992,40,3,41888,15,10,2,13,0,2,1,0,2415,70,38,1
13950,22,3,209034,15,10,4,7,1,4,0,0,0,35,38,0
17931,19,3,323421,15,10,4,5,3,4,1,0,0,20,38,0
42710,45,3,20534,15,10,2,6,0,4,1,0,0,84,38,1
715,65,5,72776,5,4,4,4,1,4,1,2964,0,40,38,0
15575,27,3,76978,11,9,4,7,3,2,0,0,0,40,38,0
5383,19,3,307761,11,9,4,11,3,4,1,0,0,15,38,0
8553,53,3,96062,6,5,0,2,1,4,1,0,0,50,38,0
6790,63,3,52750,9,13,2,9,0,4,1,0,0,40,38,0
9607,20,3,49819,15,10,4,9,3,4,0,0,0,40,38,0
20040,68,3,196782,5,4,2,9,0,4,1,0,0,30,38,0
47611,24,3,198914,11,9,4,11,4,2,1,0,0,25,38,0
17315,76,3,431192,5,4,6,9,1,4,1,0,0,2,38,0
18898,23,3,241185,11,9,4,0,1,4,0,0,0,40,38,0
14544,37,3,160916,5,4,2,9,5,4,0,0,0,40,38,0
44362,31,3,323055,11,9,2,13,0,4,1,0,0,50,38,1
39258,52,3,143807,11,9,0,11,1,4,0,0,0,40,38,0
39665,31,0,166626,11,9,2,0,0,4,1,0,0,40,38,1
21928,30,3,164190,11,9,4,0,1,4,1,0,0,38,38,0
36449,60,5,135285,12,14,2,9,0,4,1,0,0,40,38,0
39617,71,3,176986,11,9,6,9,4,4,1,0,0,24,38,0
8255,25,3,39212,9,13,2,3,0,4,1,0,0,40,38,0
31535,21,3,347292,11,9,4,2,1,4,1,0,0,40,38,0
19651,38,3,348739,14,15,2,9,0,4,1,0,0,60,38,0
10038,48,3,196707,8,11,2,2,0,4,1,0,0,40,38,1
42371,17,5,174120,2,8,4,5,3,4,1,0,0,15,38,0
32395,60,3,187458,5,4,2,2,0,4,1,0,0,40,38,0
37049,28,3,378460,9,13,4,0,1,4,1,10520,0,60,38,1
33240,26,3,105059,6,5,2,2,0,4,1,0,0,20,38,0
9393,69,3,203313,5,4,0,11,1,4,0,0,0,40,38,0
34882,24,3,216129,11,9,4,2,3,4,1,0,1408,50,38,0
13319,23,3,167868,15,10,4,0,3,4,0,0,0,24,38,0
21938,33,3,260782,15,10,2,2,0,4,1,0,0,41,38,1
33540,57,4,123053,14,15,2,9,0,1,1,15024,0,50,18,1
15920,27,3,294931,11,9,4,6,4,4,1,0,0,40,10,0
9251,72,3,235014,8,11,6,9,1,4,0,0,2465,40,38,0
33449,63,3,64448,11,9,2,9,0,4,1,0,0,40,38,0
28425,45,3,240356,15,10,0,11,1,4,0,0,0,55,38,0
30792,50,5,204402,11,9,2,4,0,4,1,0,0,84,38,1
29647,54,3,167770,11,9,2,3,0,4,1,0,1902,55,38,1
7467,38,3,143123,11,9,2,2,0,4,1,0,0,40,38,0
48153,39,3,174242,9,13,2,3,0,4,1,15024,0,60,38,1
26383,61,3,179761,11,9,2,9,0,4,1,0,0,40,38,1
1857,32,3,268282,5,4,3,4,2,4,1,0,0,35,25,0
8323,45,3,324655,9,13,4,9,1,4,1,0,0,40,38,0
13766,43,3,163769,0,6,5,7,4,4,0,0,0,40,38,0
18879,41,3,183203,11,9,2,13,0,4,1,0,0,50,38,1
29973,38,6,318886,9,13,2,10,0,2,1,0,0,52,38,0
19862,31,3,332379,15,10,3,13,4,4,1,0,0,50,38,0
27895,35,3,103710,9,13,0,9,4,4,0,0,0,16,38,0
20459,49,3,166789,11,9,2,0,0,4,1,0,0,40,38,0
12749,30,3,175323,8,11,2,3,5,4,0,0,0,52,38,0
4987,27,3,115438,15,10,4,5,3,4,1,0,0,40,38,0
44903,57,3,201991,9,13,2,9,0,4,1,0,0,40,38,0
7520,41,3,165304,15,10,2,2,0,4,1,0,0,50,11,0
38493,52,1,84808,11,9,0,0,4,2,0,0,0,40,38,0
45334,54,3,123011,15,10,2,2,0,4,1,0,0,40,38,1
14672,32,5,455995,9,13,0,3,1,4,1,0,0,50,38,1
1420,47,3,173938,9,13,2,2,0,4,1,0,0,40,38,0
28941,22,3,450920,7,12,4,0,1,2,0,0,0,40,38,0
28550,38,3,259019,11,9,2,2,0,4,1,0,0,44,38,0
22193,25,3,76144,11,9,4,3,1,4,1,0,0,50,38,0
29335,18,3,317425,1,7,4,7,3,2,1,0,0,7,38,0
19519,44,3,211759,9,13,2,3,0,3,1,0,0,40,32,0
18505,31,3,257644,1,7,4,13,4,4,1,0,0,40,38,0
45570,30,3,331419,7,12,4,2,1,4,1,4787,0,50,38,1
5431,42,3,198282,11,9,2,7,0,4,1,0,0,40,38,0
27297,53,3,102615,1,7,0,13,1,4,1,0,0,40,1,0
3319,43,3,176716,9,13,2,13,0,4,1,0,0,70,38,1
37056,62,3,72486,11,9,2,9,0,1,1,0,0,24,2,0
27592,29,3,261375,11,9,4,0,3,2,0,0,0,60,38,0
42141,27,3,493689,9,13,4,12,1,2,0,0,0,40,9,0
47657,57,3,116878,3,2,2,5,0,4,1,0,0,40,21,0
23850,19,3,175652,1,7,4,7,2,4,0,0,0,15,38,0
19695,52,5,194791,15,10,2,2,0,4,1,0,0,40,38,0
41226,55,3,239404,0,6,2,13,0,2,1,0,0,45,38,0
25778,33,3,184833,11,9,4,7,1,4,0,0,0,35,38,0
23115,60,3,112821,15,10,2,9,0,4,1,0,0,35,38,1
42013,64,3,98586,10,16,2,9,0,4,1,0,0,60,38,1
43661,43,3,221172,9,13,0,3,1,4,1,0,0,35,38,0
34557,50,3,173630,11,9,0,11,1,4,1,0,0,60,38,0
43904,25,3,25386,8,11,4,7,4,0,0,0,0,40,38,0
22839,21,3,170038,15,10,4,9,3,4,0,0,0,40,38,0
31074,44,3,523484,9,13,2,3,0,2,1,0,0,40,38,1
34040,37,1,98725,9,13,4,12,3,4,0,0,0,42,38,0
40276,55,5,322691,12,14,2,11,0,4,1,3103,0,55,38,1
33426,36,3,350783,11,9,4,9,1,4,0,0,0,38,38,0
4424,26,3,63234,9,13,2,12,5,4,0,4508,0,12,38,0
15560,35,0,316582,11,9,2,7,5,4,0,7298,0,40,38,1
16583,31,3,217460,11,9,2,13,0,4,1,0,0,45,38,1
4560,53,3,138022,9,13,2,4,0,4,1,0,0,60,38,0
27823,37,1,102936,9,13,0,9,4,4,0,0,0,55,38,0
30998,63,3,110150,11,9,2,9,0,4,1,0,0,55,38,1
8236,44,0,206927,9,13,2,3,0,4,1,7688,0,40,38,1
1352,45,5,144086,1,7,2,2,0,4,1,0,0,50,38,0
17822,62,3,162245,14,15,2,9,0,4,1,0,1628,70,38,0
46713,40,3,198096,11,9,2,6,0,4,1,0,0,40,38,1
36805,43,0,263502,11,9,0,0,1,4,1,0,0,40,38,0
29177,37,3,252947,9,13,4,6,1,2,1,0,1719,32,38,0
20769,25,3,34541,8,11,4,9,1,4,0,0,0,36,1,0
23892,22,3,32732,15,10,4,9,3,4,1,0,0,50,38,0
15238,31,0,86150,9,13,2,0,5,1,0,5178,0,40,38,1
24513,26,1,117833,9,13,4,9,1,4,0,4865,0,35,38,0
12105,43,3,108126,11,9,0,7,4,4,0,0,1762,24,38,0
27602,75,5,205860,15,10,2,2,0,2,1,0,1735,40,38,0
45438,38,3,207202,11,9,2,6,0,4,1,0,0,48,38,1
33659,36,3,177907,9,13,4,7,1,4,1,2176,0,20,38,0
15609,22,3,91189,11,9,4,11,3,4,1,0,0,40,38,0
31993,25,3,198986,9,13,4,0,1,4,1,0,0,40,38,1
2218,49,3,196360,15,10,2,3,0,4,1,0,0,46,38,1
22613,66,3,127139,9,13,2,9,0,4,1,0,0,40,38,1
8805,49,3,165539,15,10,4,8,1,2,0,0,0,90,22,0
24543,30,3,226665,9,13,2,3,0,2,1,0,0,42,38,1
4228,57,3,133201,5,4,0,2,4,4,1,0,1408,40,9,0
31072,58,3,191069,11,9,2,11,0,4,1,0,0,40,38,1
1945,36,5,125933,15,10,2,11,0,4,1,5178,0,50,38,1
36626,19,3,216647,15,10,4,7,1,4,0,0,0,30,38,0
568,58,5,25124,8,11,2,4,0,4,1,0,2377,65,38,0
24773,29,3,246974,8,11,4,12,1,4,1,0,0,40,38,0
46560,29,3,375482,9,13,4,9,1,4,1,0,0,50,8,0
31706,31,4,114937,9,13,2,3,0,4,1,0,0,55,38,1
22767,57,1,215175,12,14,2,9,0,4,1,0,0,60,38,0
29200,67,3,190340,1,7,2,9,0,4,1,0,0,40,38,0
38307,40,3,111483,12,14,2,3,0,4,1,0,0,50,38,1
28860,24,3,69640,9,13,4,11,3,4,1,0,0,40,38,0
46947,17,3,143868,6,5,4,7,3,2,1,0,0,40,38,0
17798,59,3,284834,9,13,2,0,5,4,0,2885,0,30,38,0
47589,43,3,158177,15,10,0,0,4,2,0,0,0,35,38,0
12166,39,3,223792,11,9,2,6,0,4,1,0,0,40,38,1
17056,23,1,282579,8,11,0,12,1,4,1,0,0,56,38,0
35402,44,4,56651,15,10,2,3,0,4,1,7688,0,45,38,1
37577,27,3,189462,12,14,4,9,1,4,0,0,1504,45,38,0
8992,33,3,154227,15,10,2,6,0,4,1,0,0,40,38,1
40977,46,3,72896,6,5,2,6,0,4,1,0,0,43,38,0
25812,65,3,273569,11,9,6,9,4,4,1,0,0,40,38,0
8336,31,3,114691,1,7,4,2,1,4,1,0,0,40,20,0
32195,58,3,201393,7,12,0,0,1,4,1,0,1876,40,38,0
26494,35,3,107160,2,8,5,7,1,4,0,0,0,30,38,0
41095,37,3,409189,11,9,2,7,0,4,1,0,0,30,25,0
21530,52,5,41496,15,10,2,11,0,4,1,0,0,45,38,0
37844,32,3,279173,9,13,0,11,1,4,1,0,0,45,38,0
1050,25,3,629900,9,13,2,9,5,2,0,0,0,40,38,1
29982,59,3,193568,11,9,0,6,3,4,0,0,0,40,38,0
25260,34,5,204375,14,15,4,9,1,4,0,0,0,60,38,1
14684,59,3,144962,11,9,6,6,1,4,0,0,0,40,38,0
16942,35,3,261293,12,14,4,11,1,4,1,0,0,60,38,0
23048,57,3,176079,11,9,0,0,1,4,0,0,0,40,38,0
14813,28,5,414599,7,12,4,3,1,4,1,0,0,21,12,0
17614,57,3,265099,14,15,2,9,0,4,1,0,0,60,38,0
36401,68,1,233954,12,14,6,9,4,2,0,0,0,40,38,1
13555,37,4,199816,14,15,2,9,0,4,1,0,0,50,38,1
19448,38,3,242720,12,14,2,9,0,4,1,0,0,35,38,1
544,45,3,177536,9,13,2,3,0,4,1,0,0,45,8,1
16443,44,4,78374,12,14,0,3,4,1,0,0,0,40,38,0
41221,53,5,135339,9,13,2,3,0,1,1,7688,0,20,2,1
1887,35,3,266645,11,9,2,2,0,4,1,0,0,40,38,0
35546,37,3,212512,11,9,2,6,0,4,1,3464,0,50,38,0
10010,66,3,172646,4,3,2,13,0,4,1,1173,0,12,38,0
43985,34,3,111415,11,9,2,11,0,4,1,0,0,70,38,0
24178,30,3,287908,11,9,2,6,0,2,1,0,0,40,38,0
26915,54,5,121761,11,9,2,3,0,1,1,0,0,50,38,0
37262,41,1,107327,8,11,0,9,4,4,0,0,0,40,38,0
40844,20,3,745817,15,10,4,12,3,4,0,0,0,15,38,0
41306,60,3,121319,5,4,2,6,0,4,1,3137,0,40,30,0
9502,23,5,271486,11,9,4,2,4,4,1,0,0,40,38,0
26174,30,3,214993,11,9,2,2,0,4,1,0,0,40,38,0
35700,35,3,406051,10,16,4,9,1,4,0,0,0,80,38,1
9655,33,3,166275,11,9,4,6,1,4,0,0,0,40,38,0
13135,62,3,198170,12,14,2,9,0,4,1,0,0,4,38,0
2477,37,3,160192,7,12,4,9,1,4,1,6849,0,80,38,0
36095,61,3,226989,11,9,0,9,1,4,1,4865,0,40,38,0
41965,25,3,112835,9,13,4,9,1,4,1,0,0,40,38,0
8338,45,3,310260,15,10,2,13,0,4,1,0,0,60,38,1
24997,22,3,204160,11,9,0,6,3,4,0,0,0,40,38,0
4821,55,3,227243,11,9,6,9,4,4,0,0,0,35,32,0
38205,20,3,116830,11,9,4,6,1,4,1,0,0,40,38,0
9080,26,3,40255,8,11,4,4,3,4,1,0,0,40,38,0
13930,35,3,211494,9,13,4,9,1,4,1,8614,0,40,38,1
34321,53,1,293941,9,13,2,9,0,4,1,0,0,40,38,0
32399,27,6,271243,15,10,0,0,4,2,1,0,0,40,22,0
32448,47,3,329144,11,9,2,11,0,4,1,4386,0,45,38,1
46640,24,3,220993,11,9,4,2,1,4,1,0,0,50,38,0
47699,41,3,126850,14,15,2,0,0,1,1,0,0,40,29,0
45710,64,3,192884,14,15,2,3,0,4,1,0,0,60,38,0
4115,33,4,184245,11,9,2,3,0,4,1,0,0,50,25,1
6051,37,0,254202,12,14,4,3,1,4,0,27828,0,50,38,1
17367,32,3,118161,11,9,2,10,0,4,1,0,0,40,38,0
12142,51,3,207419,11,9,0,2,1,4,1,0,0,60,38,0
48546,37,1,180342,9,13,2,7,0,4,1,0,0,40,38,1
40256,46,3,164379,9,13,0,11,4,2,0,0,0,35,38,1
44688,53,3,95540,15,10,0,0,4,4,0,1471,0,40,38,0
40945,19,3,351802,11,9,4,6,3,4,1,0,0,35,38,0
18050,26,3,167350,15,10,2,12,0,4,1,3103,0,40,38,1
29082,26,4,176981,9,13,4,0,3,4,0,0,0,50,38,0
32357,57,3,130714,3,2,2,5,0,4,1,0,0,22,38,0
29137,57,0,21626,15,10,0,7,1,4,1,0,0,40,38,0
21000,39,3,245361,9,13,0,3,1,4,0,0,0,25,38,0
13710,38,3,27408,11,9,4,4,1,4,1,0,0,60,38,0
12206,75,5,106873,1,7,6,11,1,4,1,0,0,40,38,0
25718,36,3,301614,11,9,2,2,0,4,1,0,0,40,38,0
35527,53,3,89400,15,10,6,3,4,4,0,0,0,40,38,0
23951,35,3,308945,11,9,0,12,4,4,0,0,0,75,38,0
45578,18,3,252046,11,9,4,9,3,4,0,0,0,30,38,0
41635,65,3,89681,12,14,4,9,1,4,1,0,0,99,38,0
32789,51,6,105943,11,9,2,0,5,4,0,3908,0,40,38,0
7255,36,3,234901,15,10,2,9,0,4,1,0,0,40,38,0
820,27,1,194515,7,12,4,9,3,2,0,0,0,37,38,0
23737,39,3,272950,9,13,2,2,0,4,1,0,0,45,38,1
46164,29,3,233168,9,13,2,9,5,4,0,0,0,46,38,1
32927,21,3,159567,11,9,4,6,1,4,1,0,0,50,38,0
31675,47,3,144351,9,13,2,3,0,4,1,0,0,45,38,1
10408,22,3,52596,15,10,4,9,3,4,1,0,0,15,38,1
46661,27,3,113054,11,9,5,6,1,4,1,0,0,43,38,0
5210,28,3,113866,11,9,0,0,4,4,0,0,0,40,38,0
25800,31,3,454508,1,7,4,2,1,4,1,0,2001,40,38,0
17751,61,3,120939,14,15,2,13,0,4,1,0,0,5,38,1
28090,45,3,331643,15,10,2,2,0,4,1,0,0,40,38,1
22389,19,3,375114,11,9,4,2,1,4,0,0,0,40,38,0
26565,63,0,95680,15,10,2,12,0,4,1,0,0,18,38,1
41462,24,3,258700,4,3,4,4,2,2,1,0,0,40,25,0
12077,44,3,229954,7,12,6,0,4,4,0,0,0,40,38,0
33117,44,3,277533,15,10,2,2,0,4,1,0,0,40,38,0
13158,52,3,73117,11,9,0,9,4,4,0,0,0,38,38,0
22166,43,4,133060,11,9,2,2,0,4,1,0,0,40,38,0
9507,38,3,275338,15,10,4,11,3,4,0,0,0,45,38,0
45825,33,3,356823,9,13,4,9,1,4,0,10520,0,45,38,1
46559,38,3,219902,11,9,5,13,4,2,0,0,0,30,38,0
48401,24,0,312017,15,10,4,3,3,4,1,0,0,40,38,0
24166,25,3,108658,11,9,4,3,1,4,1,0,0,45,38,0
16587,26,3,193945,7,12,4,12,1,4,1,0,0,45,38,0
19297,40,6,184378,9,13,2,0,0,4,1,0,0,40,38,0
38902,43,3,112967,15,10,2,10,0,4,1,0,0,40,38,0
5251,24,3,153078,9,13,4,12,1,1,1,0,0,40,38,0
46141,50,3,154728,15,10,2,12,0,4,1,0,0,40,38,1
43599,40,3,141583,0,6,4,7,4,2,0,0,0,40,38,0
32700,42,3,376072,11,9,2,13,0,4,1,0,0,30,38,0
19172,90,3,171956,15,10,5,0,3,4,0,0,0,40,32,0
17539,43,0,369468,9,13,2,9,0,4,1,0,0,40,38,1
5720,35,3,195081,11,9,4,11,4,2,0,0,0,40,38,0
27787,73,5,190078,15,10,2,3,0,4,1,0,0,35,38,0
10373,34,3,185480,7,12,4,0,3,4,0,0,0,40,38,0
29297,40,1,39581,14,15,5,9,3,2,0,0,0,40,38,0
10328,27,3,217530,15,10,4,12,3,4,1,0,0,40,7,0
24372,59,3,108496,12,14,2,3,0,4,1,0,0,45,38,1
31691,31,3,446358,15,10,2,6,0,4,1,0,0,40,25,0
23720,37,1,328301,9,13,0,9,1,4,0,0,0,36,38,0
31033,28,3,91299,8,11,4,0,1,1,0,0,0,45,38,0
47194,38,3,185848,12,14,2,3,0,4,1,99999,0,70,38,1
45848,45,3,285858,9,13,2,13,0,4,1,0,0,40,38,1
8218,59,3,172667,11,9,2,13,0,4,1,0,0,40,38,0
34183,67,3,63552,5,4,6,9,1,4,0,0,0,35,38,0
27415,32,3,112137,13,1,2,6,5,1,0,4508,0,40,0,0
284,33,3,265168,9,13,2,11,0,2,1,0,0,55,38,0
5093,40,3,94210,9,13,2,11,0,4,1,0,0,50,38,1
42006,32,3,53206,9,13,0,2,1,4,1,0,0,50,38,1
37140,38,3,131461,6,5,2,7,5,2,0,0,0,24,13,0
24139,38,5,198867,1,7,2,2,0,4,1,0,0,40,38,0
23619,27,3,423250,15,10,2,3,0,4,1,0,0,60,38,0
26121,24,3,259865,11,9,4,0,1,4,0,0,0,30,38,0
24334,29,3,189282,11,9,2,9,1,4,0,0,0,27,38,0
39826,50,5,29231,11,9,2,3,0,4,1,0,0,45,38,1
5917,37,3,87757,7,12,4,3,1,4,1,0,0,45,38,0
19318,42,3,307638,11,9,0,0,3,4,0,0,0,40,38,0
16046,38,3,313914,9,13,5,4,4,4,0,0,0,45,38,0
27324,34,3,32528,8,11,3,0,4,4,0,0,974,40,38,0
22493,43,3,401623,15,10,2,12,0,2,1,0,0,40,22,1
21571,47,5,236111,15,10,2,9,0,3,1,0,0,55,38,1
47840,33,3,133503,11,9,2,10,0,4,1,7688,0,48,38,1
36865,67,5,179285,9,13,2,11,0,4,1,0,0,30,38,0
22374,31,3,213750,15,10,4,11,1,4,1,0,0,45,38,0
19425,40,3,174373,9,13,2,3,0,4,1,0,0,50,38,1
13789,40,3,98466,1,7,2,2,0,4,1,0,0,50,38,0
6498,60,1,227232,11,9,6,3,4,4,0,0,0,40,38,0
26716,39,3,155961,11,9,0,0,4,2,0,0,0,38,38,0
10645,40,3,126701,8,11,0,11,1,4,1,13550,0,50,38,1
47458,50,3,128814,11,9,0,7,4,4,0,0,0,25,38,0
26247,40,3,273425,9,13,2,3,0,4,1,0,0,50,38,1
45619,45,3,217953,11,9,2,2,0,3,1,0,0,40,25,0
30839,48,5,181758,10,16,4,9,4,4,0,0,0,60,38,1
17042,59,1,420537,11,9,2,0,5,4,0,0,0,38,38,1
33202,27,5,140863,6,5,2,2,0,4,1,0,0,40,38,0
656,35,0,104858,12,14,2,3,0,4,1,0,0,50,38,1
36061,63,3,101077,7,12,3,0,2,4,0,0,0,35,38,0
45645,40,3,163434,11,9,4,2,1,4,1,0,0,50,38,0
41373,31,6,63704,9,13,4,9,1,4,0,0,0,40,38,0
32870,34,3,271933,12,14,4,3,4,4,0,0,0,50,38,0
20563,31,3,305692,15,10,2,11,5,2,0,0,0,40,38,0
7085,26,3,190916,11,9,2,3,0,4,1,0,0,40,38,0
3413,44,3,177461,15,10,0,9,4,0,1,0,0,50,38,0
5456,56,3,257555,12,14,2,9,0,4,1,0,0,40,38,1
13482,33,3,178683,15,10,2,6,0,4,1,5013,0,40,38,0
35856,44,3,111891,15,10,5,11,2,2,0,0,0,35,38,0
33075,18,3,256179,15,10,4,9,3,4,1,594,0,10,38,0
38040,23,3,174461,11,9,4,7,1,4,0,0,0,40,38,0
31134,36,3,398931,11,9,0,2,1,4,1,0,0,40,38,0
3532,43,3,153132,15,10,2,2,0,4,1,0,0,40,38,1
24006,53,3,30447,11,9,0,6,1,4,1,0,0,50,38,0
12195,24,5,434102,1,7,4,9,1,4,0,0,0,3,38,0
15306,34,5,143078,8,11,4,7,1,4,1,0,0,40,38,0
31842,53,4,148532,9,13,2,11,0,4,1,0,0,60,38,1
40958,19,3,410543,11,9,4,0,1,4,0,0,0,40,38,0
14810,17,3,156732,1,7,4,7,2,4,0,0,0,20,38,0
48819,38,3,139180,9,13,0,9,4,2,0,15020,0,45,38,1
31485,28,3,606111,10,16,4,9,1,4,0,0,0,60,10,1
28266,43,1,35824,12,14,2,9,5,4,0,0,0,40,38,1
48489,53,3,539864,15,10,0,2,1,4,1,0,0,20,38,0
28034,45,3,216932,12,14,2,3,0,4,1,0,0,40,38,1
12553,27,3,309463,6,5,4,5,1,4,1,0,0,10,38,0
803,67,3,53874,2,8,2,6,0,2,1,0,0,40,4,0
13485,35,1,42893,9,13,0,9,4,4,0,5721,0,40,38,0
2784,32,4,206297,9,13,4,3,1,4,1,0,0,60,38,0
24698,36,3,179358,11,9,6,5,4,4,0,0,0,30,38,0
42616,26,3,173593,12,14,2,6,0,4,1,0,0,20,1,0
25652,23,3,239539,11,9,4,6,3,1,1,0,0,40,29,0
27771,27,3,218184,15,10,4,0,1,2,0,0,0,40,22,0
230,18,3,96869,2,8,4,8,3,4,1,0,0,40,38,0
202,57,3,26716,9,13,0,2,1,4,1,0,0,45,38,0
42414,35,3,247750,11,9,6,7,4,2,1,0,0,40,38,0
16096,47,5,321851,8,11,5,3,4,4,0,0,0,40,38,0
2334,29,3,188564,9,13,2,9,0,4,1,0,1977,45,38,1
13607,20,4,134815,6,5,4,2,4,4,1,0,625,40,38,0
17873,20,3,206671,15,10,4,9,3,4,1,1055,0,50,38,0
39423,65,3,222810,8,11,0,3,1,4,0,0,0,40,38,0
38651,49,3,240869,5,4,4,7,2,4,1,0,0,35,38,0
43037,31,1,192565,12,14,2,9,0,4,1,0,0,90,38,1
37974,50,3,171924,9,13,2,9,0,4,1,0,0,43,38,1
9214,29,3,394927,0,6,2,13,0,4,1,0,0,45,38,1
43916,44,4,118212,9,13,2,3,0,4,1,99999,0,70,38,1
9558,20,3,228709,15,10,2,5,0,2,1,0,0,40,38,0
33676,35,3,82622,11,9,0,3,1,4,1,0,0,50,38,0
7417,30,3,182191,9,13,4,9,1,4,0,2202,0,38,38,0
30402,53,3,152883,11,9,6,0,1,2,0,0,0,40,38,0
18749,42,3,191712,9,13,0,11,1,4,1,0,1590,40,38,0
44770,52,3,145166,9,13,2,3,0,4,1,15024,0,55,38,1
45526,58,1,32855,11,9,2,13,0,4,1,0,0,48,38,0
36152,37,5,177277,15,10,4,2,1,4,1,0,0,40,38,0
43994,45,3,32896,4,3,4,6,3,4,0,0,0,35,38,0
30610,64,3,46087,9,13,0,3,1,4,0,0,0,50,38,0
15475,49,1,181970,9,13,2,3,0,4,1,0,0,40,38,0
14752,25,3,255004,15,10,4,11,3,4,1,0,0,30,38,0
23326,35,3,343403,10,16,2,12,5,4,0,0,0,20,38,0
34113,66,1,189834,5,4,6,7,1,4,0,0,0,20,38,0
33448,41,1,103759,15,10,2,13,0,4,1,3942,0,40,38,0
29590,36,3,127809,11,9,5,7,4,2,0,0,0,30,38,0
20640,22,3,195532,9,13,4,9,1,4,0,8614,0,40,38,1
33515,57,3,266189,11,9,0,0,4,4,0,0,0,42,38,0
28033,54,3,326156,15,10,2,2,0,4,1,0,0,40,38,1
19024,30,6,199539,11,9,2,0,0,4,1,0,1902,40,38,0
14897,49,3,216734,9,13,0,3,1,4,0,0,0,40,38,0
15461,55,5,340171,11,9,5,2,1,2,1,0,0,40,38,0
29706,75,5,92792,11,9,2,11,0,4,1,0,0,35,38,0
367,45,5,355978,15,10,2,11,0,4,1,0,0,60,38,1
30748,38,3,184655,11,9,2,2,0,4,1,0,1740,48,38,0
41608,52,3,81859,11,9,2,6,0,4,1,0,0,48,38,1
25695,62,3,183735,15,10,2,3,0,4,1,0,0,40,38,0
13020,31,3,32289,11,9,4,12,1,4,0,0,0,40,38,0
47376,55,3,193130,9,13,2,9,0,4,1,0,0,40,38,1
8319,44,3,107433,15,10,2,11,0,4,1,0,0,55,38,1
7554,60,3,180632,2,8,0,4,1,4,1,0,0,40,38,0
11623,18,3,457710,1,7,4,9,3,4,1,0,0,16,25,0
12754,29,3,247867,9,13,2,9,0,4,1,0,0,40,38,1
18186,44,3,161819,11,9,2,6,0,4,1,0,0,40,38,1
31108,33,3,162572,9,13,2,9,0,4,1,99999,0,40,38,1
36525,20,3,224424,2,8,4,6,3,4,1,0,0,40,38,0
41920,38,3,177154,11,9,2,7,0,4,1,0,0,40,38,0
27699,38,3,275338,9,13,0,11,4,4,0,1151,0,40,38,0
456,19,1,223326,15,10,4,10,3,4,1,0,1721,35,38,0
41292,30,3,382368,11,9,2,5,0,4,1,0,0,40,38,0
37072,29,3,331875,2,8,4,5,1,4,1,0,0,40,5,0
35695,34,3,317809,9,13,2,3,0,4,1,0,0,50,38,1
32285,64,3,159938,11,9,0,9,1,4,1,8614,0,40,38,1
18189,26,3,91683,0,6,2,13,0,4,1,0,0,35,38,0
16210,24,3,205883,11,9,4,0,4,2,0,0,0,40,38,0
24994,55,3,113912,8,11,2,9,5,4,0,0,0,20,38,0
30258,52,1,278522,15,10,2,13,0,2,1,0,0,40,38,0
32998,31,3,198452,9,13,4,0,3,4,0,0,0,40,38,0
16414,37,3,254202,9,13,2,11,0,4,1,0,0,50,38,0
39797,40,3,177083,11,9,0,3,4,4,0,0,0,50,38,0
2137,44,3,60722,11,9,0,11,1,1,0,0,0,40,38,0
13137,42,6,116493,9,13,2,10,0,4,1,0,0,52,38,0
8306,32,3,219553,1,7,2,2,0,4,1,0,0,60,38,0
3162,41,3,316820,9,13,0,11,1,4,1,0,0,40,38,1
33155,48,3,121124,15,10,2,7,0,4,1,0,0,40,38,1
22607,41,5,226505,11,9,0,7,4,4,0,0,0,40,38,0
15834,61,3,345697,11,9,2,9,0,4,1,3103,0,40,38,1
13339,55,3,109015,9,13,0,3,1,4,0,0,1876,40,38,0
27046,34,3,255693,11,9,2,0,5,4,0,0,0,20,38,0
18085,41,3,107306,11,9,4,3,1,4,1,2174,0,40,38,0
17389,41,3,118212,9,13,2,2,0,4,1,3103,0,40,38,1
2700,50,3,154153,0,6,2,6,0,4,1,0,0,50,38,0
36541,42,3,106698,15,10,0,7,4,4,0,0,0,32,38,0
30713,21,3,275395,15,10,4,2,3,4,1,0,0,40,38,0
41626,36,3,186415,11,9,2,5,0,4,1,0,0,65,38,0
9112,48,1,121124,9,13,2,9,0,4,1,0,0,55,38,1
3695,23,3,114939,15,10,4,7,3,4,0,0,0,30,38,0
48727,53,3,158993,11,9,6,6,4,2,0,0,0,38,38,0
32897,37,5,180477,11,9,2,2,0,4,1,0,0,47,38,0
4171,26,3,224045,7,12,4,0,1,4,0,0,0,36,38,0
4687,37,3,235070,11,9,3,7,4,2,0,0,0,35,13,0
23607,37,6,354929,7,12,0,10,1,2,1,0,0,38,38,0
12590,40,3,33795,8,11,2,2,0,4,1,0,0,40,38,0
18770,54,3,240542,15,10,0,11,4,4,0,0,0,48,38,0
299,30,3,238186,11,9,2,6,2,4,1,0,2057,48,38,0
